# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.3.2 (Nov 2020); http://hmmer.org/
# Copyright (C) 2020 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  petml/data/unsupervised/jackhmmer_hmm_b04.txt
# target sequence database:        petml/data/tmp/sequences.fasta
# output directed to file:         ./petml_output/homolog_hmmout/output.txt
# MSA of all hits saved to file:   ./petml_output/homolog_hmmout/aln.sto
# per-seq hits tabular output:     ./petml_output/homolog_hmmout/tab_output.txt
# show alignments in output:       no
# sequence reporting threshold:    score >= 0
# domain reporting threshold:      score >= 0
# sequence inclusion threshold:    score >= 0
# domain inclusion threshold:      score >= 0
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       PETH_IDESA_b04  [M=314]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence Description

>> Seq207  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  266.5   6.0   7.1e-81   7.1e-81       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq301  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  266.5   6.6   7.3e-81   7.3e-81       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq446  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  266.4   6.3   7.6e-81   7.6e-81       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq128  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  266.4   6.1   7.6e-81   7.6e-81       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq249  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  266.4   6.1   7.8e-81   7.8e-81       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq105  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  266.2   5.8   8.7e-81   8.7e-81       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq178  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  266.2   5.8   8.7e-81   8.7e-81       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq454  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  266.2   0.2     9e-81     9e-81      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq380  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  266.1   2.5   9.2e-81   9.2e-81      29     311 ..       2     256 ..       1     259 [] 0.98

>> Seq290  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  266.1   5.3   9.6e-81   9.6e-81       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq111  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  266.1   6.5   9.7e-81   9.7e-81       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq48  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  266.0   0.2     1e-80     1e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq161  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.9   0.2   1.1e-80   1.1e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq367  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.9   0.2   1.1e-80   1.1e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq197  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.9   0.3   1.1e-80   1.1e-80      29     310 ..       1     257 [.       1     260 [] 0.97

>> Seq263  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.8   0.2   1.2e-80   1.2e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq338  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.7   0.2   1.2e-80   1.2e-80      29     310 ..       1     257 [.       1     260 [] 0.97

>> Seq119  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.6   5.2   1.3e-80   1.3e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq184  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.6   0.5   1.3e-80   1.3e-80      29     310 ..       1     257 [.       1     260 [] 0.97

>> Seq129  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.5   0.2   1.4e-80   1.4e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq300  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.5   0.2   1.4e-80   1.4e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq218  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.5   6.6   1.4e-80   1.4e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq253  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.5   5.8   1.4e-80   1.4e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq480  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.5   0.3   1.4e-80   1.4e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq418  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.5   6.1   1.4e-80   1.4e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq189  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.4   1.4   1.6e-80   1.6e-80      28     307 ..       1     253 [.       1     259 [. 0.97

>> Seq410  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.5   0.3   1.5e-80   1.5e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq469  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.3   5.6   1.6e-80   1.6e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq326  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.3   0.2   1.6e-80   1.6e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq365  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.3   0.2   1.7e-80   1.7e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq330  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.3   6.3   1.7e-80   1.7e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq193  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.2   6.5   1.7e-80   1.7e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq479  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.2   6.2   1.8e-80   1.8e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq93  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.2   0.2   1.8e-80   1.8e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq447  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.1   0.2   1.8e-80   1.8e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq75  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.1   6.5   1.8e-80   1.8e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq394  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.1   3.7   1.8e-80   1.8e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq46  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.1   0.2   1.9e-80   1.9e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq182  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.1   3.0   1.9e-80   1.9e-80      29     311 ..       1     255 [.       1     258 [] 0.98

>> Seq176  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.1   0.3   1.9e-80   1.9e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq16  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.0   5.7     2e-80     2e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq151  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.0   6.7     2e-80     2e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq485  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  265.0   6.7     2e-80     2e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq421  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.9   0.2   2.2e-80   2.2e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq349  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.7   6.0   2.5e-80   2.5e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq251  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.7   0.2   2.6e-80   2.6e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq444  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.7   5.7   2.6e-80   2.6e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq102  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.6   0.3   2.6e-80   2.6e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq333  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.6   7.2   2.8e-80   2.8e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq415  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.5   6.0   2.8e-80   2.8e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq194  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.5   0.2   2.9e-80   2.9e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq391  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.5   6.4   2.9e-80   2.9e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq254  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.4   6.6   3.1e-80   3.1e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq170  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.4   0.2   3.2e-80   3.2e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq302  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.4   6.1   3.2e-80   3.2e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq217  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.3   6.3   3.3e-80   3.3e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq474  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.3   0.2   3.3e-80   3.3e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq325  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.3   0.4   3.3e-80   3.3e-80      29     310 ..       1     257 [.       1     260 [] 0.97

>> Seq318  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.3   6.1   3.3e-80   3.3e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq118  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.3   0.2   3.3e-80   3.3e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq216  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.3   0.2   3.4e-80   3.4e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq470  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.2   0.1   3.5e-80   3.5e-80      29     310 ..       1     257 [.       1     260 [] 0.97

>> Seq199  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.1   7.0   3.7e-80   3.7e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq451  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.1   0.2   3.8e-80   3.8e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq442  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.1   6.5   3.9e-80   3.9e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq227  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.0   2.6   4.1e-80   4.1e-80      28     310 ..       1     255 [.       1     259 [. 0.97

>> Seq281  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  264.0   6.4     4e-80     4e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq209  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.9   6.5   4.3e-80   4.3e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq98  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.9   6.9   4.5e-80   4.5e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq276  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.9   0.1   4.5e-80   4.5e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq17  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.8   5.4   4.6e-80   4.6e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq476  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.8   6.9   4.8e-80   4.8e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq280  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.8   0.2   4.9e-80   4.9e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq162  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.7   6.9   4.9e-80   4.9e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq47  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.7   2.2     5e-80     5e-80      29     311 ..       1     255 [.       1     258 [] 0.98

>> Seq306  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.6   3.0   5.4e-80   5.4e-80      29     311 ..       1     255 [.       1     258 [] 0.98

>> Seq433  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.6   3.3   5.5e-80   5.5e-80      29     311 ..       1     255 [.       1     258 [] 0.98

>> Seq422  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.5   0.2   5.8e-80   5.8e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq67  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.5   9.9   5.9e-80   5.9e-80      30     311 ..       2     256 ..       1     258 [] 0.98

>> Seq286  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.5   4.0     6e-80     6e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq171  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.4   3.1   6.1e-80   6.1e-80      29     311 ..       1     255 [.       1     258 [] 0.98

>> Seq235  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.4   0.2   6.1e-80   6.1e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq120  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.4   2.8   6.3e-80   6.3e-80      29     311 ..       2     256 ..       1     259 [] 0.98

>> Seq445  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.3   5.5   6.6e-80   6.6e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq450  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.2   6.1   7.3e-80   7.3e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq188  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.2   5.5   7.4e-80   7.4e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq206  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.1   0.2   7.8e-80   7.8e-80      29     311 ..       1     258 [.       1     261 [] 0.97

>> Seq279  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.0   4.9   8.3e-80   8.3e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq398  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
 ---   ------ ----- --------- --------- ------- -------    ------- -------    ------- -------    ----
   1 !  263.0   5.2   8.3e-80   8.3e-80       5     312 ..       5     288 ..       1     290 [] 0.98

>> Seq413  
   #    score  bias  c-Evalue  i-Evalue hmmfrom  hmm to    alifrom  ali to    envfrom  env to     acc
